D, Z, AEdAO, PdD, P_B, n,etaO,etaR, t075dD,tmin075dD, tal07R,cavLim, Vtip,Vtipmax, fitness, iteration, population i 
best fit at iteration 3,136.758854
0.781159,6,0.466008,1.090917,0.000000,610.143880,0.357751,1.005613,0.011000,0.009682,0.513035,0.229949,24.955724,39.000000,0.000000,4,1
0.500000,4,1.050000,0.548492,0.000000,2277.317614,0.226487,1.039922,0.013500,0.013158,0.088265,0.052751,59.620036,39.000000,0.000000,4,2
0.690622,3,1.044765,0.510962,0.000000,1371.144200,0.259227,1.042295,0.014750,0.012276,0.065495,0.082632,49.581810,39.000000,0.000000,4,3
0.714665,6,0.379467,1.039379,0.000000,750.790581,0.334326,1.008873,0.011000,0.010081,0.591812,0.201974,28.094424,39.000000,0.000000,4,4
0.605298,6,0.479904,1.289375,0.000000,921.219981,0.263689,0.993061,0.011000,0.010788,0.655583,0.193297,29.196547,39.000000,0.000000,4,5
0.500000,2,0.608552,0.500000,0.000000,2480.459429,0.228766,1.042989,0.016000,0.015516,0.126958,0.042835,64.938276,39.000000,0.000000,4,6
0.624097,5,0.580345,0.875248,0.000000,1056.177180,0.304190,1.019254,0.012250,0.011306,0.326181,0.156810,34.513381,39.000000,0.000000,4,7
0.504714,3,1.041776,0.691093,0.000000,1882.121855,0.235360,1.030902,0.014750,0.014405,0.129660,0.082034,49.738375,39.000000,0.000000,4,8
0.800000,7,0.300000,0.796792,0.000000,695.459644,0.366795,1.024217,0.009750,0.009347,0.517872,0.193728,29.131345,39.000000,0.000000,4,9
0.772923,3,0.495238,1.262283,0.000000,607.639354,0.307017,0.994774,0.014750,0.011517,0.533396,0.233400,24.591247,39.000000,0.000000,4,10
0.658846,3,1.050000,0.928388,0.000000,912.523772,0.300740,1.015893,0.014750,0.012745,0.196152,0.176830,31.479429,39.000000,0.000000,4,11
0.518982,5,0.341311,0.500000,0.000000,2074.405183,0.259835,1.042989,0.012250,0.012031,0.278091,0.060477,56.369510,39.000000,0.000000,4,12
0.800000,3,0.824645,0.962581,0.000000,635.024787,0.345495,1.013730,0.014750,0.011566,0.235215,0.214913,26.599856,39.000000,0.000000,4,13
