D, Z, AEdAO, PdD, P_B, n,etaO,etaR, t075dD,tmin075dD, tal07R,cavLim, Vtip,Vtipmax, fitness, iteration, population i 
0.800000,4,0.355525,0.782359,106.248416,737.119444,0.382919,1.025129,0.013500,0.010449,0.388347,0.180860,30.876387,39.000000,228.139419,4,6
0.729334,7,0.997457,1.400000,133.754301,572.892099,0.315772,0.986064,0.009750,0.009455,0.390423,0.262704,21.877511,39.000000,198.781667,4,7
0.800000,3,0.898970,0.500000,130.616824,1046.212905,0.306177,1.042989,0.014750,0.011315,0.071670,0.106587,43.823664,39.000000,146.771994,4,8
0.500000,2,0.871128,1.344543,193.577983,1209.228530,0.216374,0.989571,0.016000,0.016090,0.462884,0.175704,31.657529,39.000000,511.057525,4,9
0.800000,5,1.050000,1.188815,119.669624,534.136441,0.348720,0.999421,0.012250,0.010100,0.275567,0.256739,22.373855,39.000000,128.445971,4,10
0.757267,2,0.507124,0.963588,130.145681,748.188719,0.315878,1.013667,0.016000,0.013126,0.345996,0.189633,29.665995,39.000000,237.458696,4,11
0.500000,3,1.050000,0.564874,182.483839,2269.462086,0.218652,1.038885,0.014750,0.014313,0.089230,0.053198,59.414378,39.000000,401.600465,4,12
0.591115,2,0.713931,0.635767,153.169483,1529.029020,0.262111,1.034401,0.016000,0.014685,0.149141,0.091951,47.324532,39.000000,281.127187,4,13
0.800000,3,0.752481,0.605016,113.725607,886.159579,0.353872,1.036346,0.014750,0.011226,0.122032,0.141190,37.119366,39.000000,113.725607,4,14
0.549632,7,0.926653,1.294492,168.628791,1023.484532,0.247860,0.992737,0.009750,0.011017,0.407186,0.191318,29.454494,39.000000,378.285206,4,15
0.623024,2,1.008528,1.115263,148.758661,889.095511,0.278218,1.004073,0.016000,0.014620,0.283252,0.194801,29.003594,39.000000,216.303904,4,16
0.503491,2,1.050000,1.124299,175.813146,1305.339905,0.234943,1.003502,0.016000,0.016341,0.301158,0.157466,34.412320,39.000000,339.918627,4,17
0.777593,5,0.358933,1.273232,126.313322,596.915161,0.332004,0.994082,0.012250,0.009933,0.746136,0.236199,24.303192,39.000000,399.014796,4,18
0.681861,6,0.980593,1.251379,139.065492,695.827314,0.300561,0.995464,0.011000,0.010375,0.340811,0.231071,24.842547,39.000000,205.110786,4,19
0.500000,2,1.050000,1.188815,176.590374,1268.885359,0.234858,0.999421,0.016000,0.016284,0.333580,0.165186,33.219341,39.000000,359.686056,4,20
0.605054,6,1.012380,0.622415,138.229948,1380.617477,0.290281,1.035246,0.011000,0.010887,0.116861,0.107002,43.738734,39.000000,167.761686,4,21
0.774549,4,0.687739,1.190524,127.463995,592.446082,0.327265,0.999313,0.013500,0.010805,0.391839,0.238943,24.026830,39.000000,209.026006,4,22
0.774998,2,0.438388,0.607845,110.343264,966.688513,0.364604,1.036167,0.016000,0.012362,0.200637,0.129883,39.227040,39.000000,171.094723,4,23
0.779472,5,0.932535,1.225379,124.212136,554.479624,0.336614,0.997108,0.012250,0.010191,0.323661,0.253809,22.630009,39.000000,158.396866,4,24
0.800000,6,0.938206,1.286747,121.875592,509.293483,0.344549,0.993227,0.011000,0.009566,0.347980,0.269381,21.333236,39.000000,157.435619,4,25
0.695916,3,0.300000,0.594479,114.785696,1155.638499,0.349661,1.037013,0.014750,0.011696,0.316908,0.114580,42.109244,39.000000,326.627292,4,26
0.739800,3,0.416570,0.837750,118.072880,838.028867,0.345327,1.021626,0.014750,0.011703,0.358014,0.170348,32.461732,39.000000,248.149559,4,27
0.747133,7,0.591021,0.663462,114.506672,866.770370,0.352350,1.032650,0.009750,0.009587,0.217012,0.160584,33.907872,39.000000,154.742766,4,28
0.642416,4,1.012858,1.081910,141.771970,857.181122,0.291449,1.006183,0.013500,0.011964,0.265441,0.196097,28.832846,39.000000,191.905365,4,29
0.708193,7,1.050000,0.500000,127.769148,1218.924957,0.312394,1.042989,0.009750,0.009638,0.074180,0.100677,45.198841,39.000000,148.077368,4,30
best fit at iteration 4,110.692313
0.751541,2,0.300000,0.500000,107.109450,1157.609351,0.372972,1.042989,0.016000,0.012183,0.226230,0.099228,45.552586,39.000000,262.194285,5,1
0.792498,2,0.739112,0.736224,121.317720,802.401095,0.334380,1.028047,0.016000,0.012790,0.162250,0.164581,33.295712,39.000000,121.317720,5,2
0.693058,4,0.913138,1.400000,147.346127,642.202214,0.286440,0.986064,0.013500,0.011188,0.419090,0.246435,23.304511,39.000000,250.577824,5,3
0.770979,5,0.703731,0.635767,109.443077,869.893036,0.368202,1.034401,0.012250,0.010081,0.158328,0.153126,35.116170,39.000000,113.161334,5,4
0.678869,4,1.017098,0.500000,145.533618,1393.745140,0.274119,1.042989,0.013500,0.011367,0.069620,0.082788,49.541350,39.000000,184.870049,5,5
0.680258,4,0.617455,0.587497,121.766204,1175.404708,0.329363,1.037454,0.013500,0.011199,0.162930,0.115764,41.865818,39.000000,180.324974,5,6
