D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid,seed,iteration
0.536277,0.540931,0.731784,5.0,187.910304,1698.020781,639.121382,0.01225,0.012555,0.284855,0.090306,47.67936,39.0,2.401171633353379,0.0,5,3
0.764299,0.3,1.192139,7.0,155.826962,672.711178,638.682929,0.00975,0.00969,0.867505,0.211655,26.920961,39.0,3.098674730103234,0.0,5,3
0.695515,0.490162,0.534184,5.0,151.475065,1258.125014,320.134059,0.01225,0.010896,0.190147,0.098083,45.817237,39.0,1.1134345549494058,0.0,5,4
0.615006,0.419654,1.043042,6.0,179.350307,1074.965613,657.067846,0.011,0.011275,0.567691,0.155993,34.615628,39.0,2.6635984134997925,0.0,5,4
0.516393,0.998433,0.717793,4.0,204.471657,1864.564516,446.244181,0.0135,0.013702,0.1487,0.079307,50.414606,39.0,1.1824166977372093,0.0,5,4
0.614458,0.846856,0.609506,7.0,170.796691,1431.590521,299.525109,0.00975,0.010834,0.143062,0.097147,46.058499,39.0,0.753676790357282,0.0,5,4
0.500000,1.001348,1.365798,4.0,246.774813,1293.976785,645.972352,0.0135,0.01387,0.416268,0.160659,33.876233,39.0,1.6176795848774144,0.0,5,4
0.743349,0.37869,1.27316,4.0,171.930839,715.237883,588.974001,0.0135,0.011179,0.698004,0.203758,27.838246,39.0,2.425651998939919,0.0,5,4
0.782202,0.53352,1.136668,2.0,172.680219,686.226494,360.597561,0.016,0.013512,0.420827,0.201522,28.105109,39.0,1.0882434672144976,0.0,5,4
0.553565,0.774176,0.713045,3.0,196.820405,1677.124082,455.547989,0.01475,0.014273,0.178658,0.086387,48.610747,39.0,1.314541510456672,0.0,5,4
0.800000,1.044254,0.580521,3.0,160.760133,1015.82573,175.39676,0.01475,0.011865,0.078347,0.112342,42.550809,39.0,0.09104638461538464,0.0,5,4
0.500000,0.678109,0.697705,5.0,200.180471,1986.953713,673.936895,0.01225,0.013001,0.218621,0.073485,52.018327,39.0,2.3666105694198225,0.0,5,4
0.500000,0.79893,0.891399,7.0,208.031189,1645.011109,600.185068,0.00975,0.012206,0.283801,0.110017,43.06629,39.0,1.8850867884309914,0.0,5,4
0.605815,0.414065,0.984886,5.0,180.355239,1160.631118,653.148991,0.01225,0.011881,0.517161,0.142805,36.815657,39.0,2.6214488288225204,0.0,5,4
0.651736,0.514249,1.144858,5.0,180.304195,920.187415,521.88388,0.01225,0.011481,0.512657,0.177117,31.401244,39.0,1.8944539485199052,0.0,5,4
0.617452,0.966877,1.258812,7.0,189.952485,897.030189,378.847994,0.00975,0.010868,0.367992,0.19454,29.000722,39.0,0.9944715124821502,0.0,5,4
0.565275,0.493595,0.955368,7.0,187.351356,1283.908691,667.532833,0.00975,0.011389,0.465858,0.136251,38.000794,39.0,2.5630269810871504,0.0,5,4
0.619124,0.557731,1.3413,4.0,212.159736,947.716614,677.822101,0.0135,0.012343,0.580677,0.181753,30.722376,39.0,2.1948688604864843,0.0,5,4
0.522184,0.3,0.511733,7.0,207.091842,2113.31335,1411.531783,0.00975,0.011787,0.350544,0.056892,57.781102,39.0,5.815953517945219,0.0,5,4
