D, Z, AEdAO, PdD, P_B, n,etaO,etaR, t075dD,tmin075dD, tal07R,cavLim, Vtip,Vtipmax, fitness, iteration, population i 
0.749979,6,0.364225,0.859864,0.000000,757.210482,0.357660,1.020227,0.011000,0.009895,0.475855,0.189122,29.734762,39.000000,0.000000,3,19
0.701617,2,1.012115,1.188397,0.000000,681.506365,0.310658,0.999448,0.016000,0.013612,0.301112,0.229249,25.036207,39.000000,0.000000,3,20
0.730292,3,0.439021,1.315615,0.000000,673.674359,0.287291,0.991401,0.014750,0.011723,0.627653,0.222688,25.759966,39.000000,0.000000,3,21
0.800000,6,0.300000,1.231604,0.000000,570.497606,0.350412,0.996715,0.011000,0.009408,0.859352,0.240242,23.896948,39.000000,0.000000,3,22
0.665752,4,0.736868,0.976847,0.000000,877.714306,0.304174,1.012828,0.013500,0.011711,0.293155,0.182883,30.595952,39.000000,0.000000,3,23
0.629068,2,0.707986,1.227420,0.000000,868.880694,0.251286,0.996979,0.016000,0.014557,0.419350,0.197768,28.619147,39.000000,0.000000,3,24
0.710250,2,0.642126,1.400000,0.000000,649.046740,0.271404,0.986064,0.016000,0.013261,0.529263,0.237879,24.137136,39.000000,0.000000,3,25
0.652446,5,0.881149,0.875357,0.000000,953.698330,0.312496,1.019247,0.012250,0.011149,0.219738,0.169537,32.580241,39.000000,0.000000,3,26
0.710604,7,0.464429,1.190639,0.000000,688.990523,0.322476,0.999306,0.009750,0.009713,0.610800,0.223790,25.635384,39.000000,0.000000,3,27
0.535552,7,0.422162,0.917187,0.000000,1357.532987,0.265118,1.016602,0.009750,0.011224,0.510951,0.136056,38.067161,39.000000,0.000000,3,28
0.704345,4,0.667400,1.183010,0.000000,712.871087,0.300625,0.999788,0.013500,0.011327,0.411135,0.217868,26.290260,39.000000,0.000000,3,29
0.629516,3,0.300000,0.769657,0.000000,1211.733399,0.314542,1.025933,0.014750,0.012465,0.451813,0.125837,39.940428,39.000000,0.000000,3,30
best fit at iteration 3,134.116654
0.796569,6,0.627043,0.989621,0.000000,609.178926,0.372529,1.012020,0.011000,0.009661,0.343848,0.225777,25.407792,39.000000,0.000000,4,1
