D, Z, AEdAO, PdD, P_B, n,etaO,etaR, t075dD,tmin075dD, tal07R,cavLim, Vtip,Vtipmax, fitness, iteration, population i 
0.800000,5,0.643955,0.558434,107.607169,885.418581,0.372932,1.039293,0.012250,0.009851,0.141211,0.141366,37.088327,39.000000,107.607169,5,6
0.692719,4,0.913486,0.500000,136.186561,1316.979993,0.292990,1.042989,0.013500,0.011176,0.079952,0.089999,47.767776,39.000000,166.803312,5,7
0.800000,7,0.891671,0.618863,110.489650,812.392267,0.364554,1.035471,0.009750,0.009265,0.122682,0.159788,34.029408,39.000000,110.489650,5,8
0.800000,5,0.372148,0.688246,106.149954,773.831316,0.381088,1.031082,0.012250,0.009942,0.329167,0.170667,32.414170,39.000000,204.732807,5,9
0.704161,7,1.050000,0.765640,123.818546,883.128191,0.327625,1.026187,0.009750,0.009971,0.153391,0.169657,32.560764,39.000000,126.564536,5,10
0.571124,3,1.020816,1.336044,164.635046,926.743205,0.254652,0.990109,0.014750,0.013375,0.389954,0.205221,27.713328,39.000000,312.833853,5,11
0.605893,3,1.050000,1.055130,148.662284,971.128759,0.277255,1.007877,0.014750,0.013306,0.251567,0.181402,30.808564,39.000000,206.163970,5,12
0.697090,7,0.300000,0.500000,133.278995,1159.719706,0.299421,1.042989,0.009750,0.009972,0.305466,0.113530,42.329268,39.000000,372.948618,5,13
0.665899,7,0.713846,0.783295,124.696989,961.207983,0.325399,1.025070,0.009750,0.010155,0.240172,0.163174,33.513852,39.000000,188.507234,5,14
0.800000,7,0.620976,0.701575,108.266544,738.559030,0.373941,1.030239,0.009750,0.009310,0.216967,0.180442,30.936688,39.000000,130.181947,5,15
0.579021,7,1.050000,1.073854,152.499698,1019.665249,0.270447,1.006692,0.009750,0.010975,0.275650,0.180678,30.913669,39.000000,249.680913,5,16
0.691636,3,0.789369,0.742488,128.555107,995.174144,0.315027,1.027651,0.014750,0.012265,0.172259,0.147549,36.039213,39.000000,150.084843,5,17
